time_s,phase,Te_eV,EN_Td,Ptot,N2,N2(V1),N2(V2),N2(V3),N2(V4),N2(V5),N2(V6),N2(V7),N2(V8),N2(A3),N2(B3),N2(A`1),N2(C3),N,N(2D),N(2P),N^+,N2^+,N3^+,N4^+,H2,H2(B3SIG),H2(B1SIG),H2(C3PI),H2(A3SIG),H2(RYDBERG_SUM),H2(V1),H2(V2),H2(V3),H,H2^+,H3^+,H^+,H^-,NH,NH2,NH3,NH^+,N2H^+,NH2^+,NH3^+,NH4^+,E,SURF,HSURF,NSURF,NHSURF,NH2SURF
  0.00000E+00,0,  3.49960E+00,  1.40000E+02,  2.54766E-08,  2.44600E+18,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.00000E+00,  2.20140E+19,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.00000E+00,  1.17000E+08,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.00000E+00
  5.00000E-05,1,  3.49960E+00,  1.40000E+02,  2.54766E-08,  2.44518E+18,  7.99981E+14,  2.89889E+11,  1.71138E+09,  8.12056E+08,  3.08433E+08,  1.47370E+08,  3.36015E+07,  9.70577E+06,  6.78942E+12,  4.50832E+08,  2.84945E+08,  5.24412E+09,  4.38574E+12,  8.94484E+01,  1.72041E+09,  1.65079E+01,  6.67059E+05,  5.54649E+04,  1.79408E+07,  2.20136E+19,  8.41811E+13,  3.29842E+13,  2.69047E+13,  1.74306E+13,  2.68009E+12,  1.72224E+13,  7.44495E+08,  1.08165E+03,  3.15966E+14,  5.42359E+06,  1.18657E+13,  1.33902E+11,  2.09034E+05,  5.33863E+12,  2.34605E+10,  8.75241E+11,  6.33847E+00,  2.77777E+12,  3.39840E+01,  5.85671E+09,  5.72940E+07,  1.17000E+08,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.00000E+00
  1.00000E-04,2,  2.58352E-02,  0.00000E+00,  0.00000E+00,  2.44551E+18,  4.84510E+14,  1.02084E+11,  2.17397E+07,  1.20548E+04,  5.39998E+02,  3.24221E+03,  4.49401E-01,  3.41915E-04,  4.14933E+11,  9.20586E+04,  2.25811E+04,  5.28828E+05,  1.22230E+12,  4.67681E-01,  3.22443E+07,  5.54536E-02,  1.81993E+00,  5.50351E+04,  1.31661E+07,  2.20137E+19,  6.80277E+13,  2.66546E+13,  2.17412E+13,  1.40859E+13,  2.57433E+12,  3.69520E+12,  2.12934E+06,  6.63683E-01,  3.27802E+14,  0.00000E+00,  1.18651E+13,  7.39780E+10,  0.00000E+00,  5.21737E+12,  4.80657E+10,  3.74284E+12,  2.12921E-02,  2.76653E+12,  1.14159E-01,  5.71635E+10,  8.60788E+09,  1.17000E+08,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.00000E+00
  1.50000E-04,1,  3.49960E+00,  1.40000E+02,  2.54766E-08,  2.44498E+18,  9.94746E+14,  4.41410E+11,  1.80327E+09,  8.11330E+08,  3.08373E+08,  1.47043E+08,  3.36007E+07,  9.70521E+06,  5.40422E+12,  4.41780E+08,  2.82703E+08,  5.19212E+09,  3.69942E+12,  5.03874E+01,  1.14920E+09,  1.39247E+01,  6.67013E+05,  1.03414E+05,  1.79375E+07,  2.20133E+19,  1.38486E+14,  5.42622E+13,  4.42605E+13,  2.86755E+13,  5.12470E+12,  2.22780E+13,  7.75625E+08,  1.45752E+03,  6.45403E+14,  5.42360E+06,  2.37974E+13,  9.14907E+10,  8.74395E+01,  9.46339E+12,  1.23183E+11,  7.03731E+12,  5.34664E+00,  5.55954E+12,  2.86661E+01,  1.29059E+11,  6.04509E+10,  1.17000E+08,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.00000E+00
  2.00000E-04,2,  2.58352E-02,  0.00000E+00,  0.00000E+00,  2.44543E+18,  5.58139E+14,  1.35394E+11,  3.31464E+07,  8.81677E+03,  5.89027E+01,  3.41805E+02,  5.35116E-02,  4.51809E-05,  1.38221E+11,  9.70518E+03,  2.38175E+03,  5.57763E+04,  1.64928E+12,  2.88468E-01,  1.47639E+07,  7.47733E-02,  1.81523E+00,  1.02582E+05,  1.31313E+07,  2.20134E+19,  1.11571E+14,  4.37156E+13,  3.56569E+13,  2.31023E+13,  4.91396E+12,  4.83811E+12,  3.64885E+06,  1.48745E+00,  6.53446E+14,  0.00000E+00,  2.37962E+13,  8.91194E+09,  0.00000E+00,  6.65238E+12,  2.52751E+11,  1.10044E+13,  2.87102E-02,  5.53688E+12,  1.53930E-01,  9.52148E+10,  1.76027E+11,  1.17000E+08,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.00000E+00
  2.50000E-04,1,  3.49960E+00,  1.40000E+02,  2.54766E-08,  2.44495E+18,  1.01818E+15,  4.61872E+11,  1.81681E+09,  8.10920E+08,  3.08343E+08,  1.46861E+08,  3.36008E+07,  9.70522E+06,  4.42371E+12,  4.36631E+08,  2.81439E+08,  5.16256E+09,  3.80714E+12,  4.35905E+01,  9.66056E+08,  1.43304E+01,  6.67013E+05,  1.43676E+05,  1.79369E+07,  2.20131E+19,  1.72465E+14,  6.75758E+13,  5.51199E+13,  3.57116E+13,  7.30886E+12,  2.29607E+13,  7.80439E+08,  1.51152E+03,  9.68915E+14,  5.42357E+06,  3.57314E+13,  3.86264E+10,  8.30833E+01,  1.03482E+13,  3.81339E+11,  1.49062E+13,  5.50239E+00,  8.33058E+12,  2.95010E+01,  9.07963E+10,  2.92646E+11,  1.17000E+08,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.00000E+00
  3.00000E-04,2,  2.58352E-02,  0.00000E+00,  0.00000E+00,  2.44541E+18,  5.63326E+14,  1.37921E+11,  3.40766E+07,  8.42620E+03,  9.02371E+00,  4.13153E+01,  6.61414E-03,  5.73826E-06,  4.71523E+10,  1.17307E+03,  2.87843E+02,  6.74040E+03,  2.02446E+12,  1.52870E-01,  6.36349E+06,  9.16899E-02,  1.80836E+00,  1.42353E+05,  1.30803E+07,  2.20131E+19,  1.37688E+14,  5.39485E+13,  4.40032E+13,  2.85103E+13,  6.95912E+12,  4.92453E+12,  3.78098E+06,  1.56992E+00,  9.74976E+14,  0.00000E+00,  3.57297E+13,  4.66190E+08,  0.00000E+00,  6.89434E+12,  4.85611E+11,  1.92041E+13,  3.52055E-02,  8.29622E+12,  1.88754E-01,  2.52220E+10,  3.94379E+11,  1.17000E+08,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.00000E+00
  3.50000E-04,1,  3.49960E+00,  1.40000E+02,  2.54766E-08,  2.44495E+18,  1.01977E+15,  4.63280E+11,  1.81761E+09,  8.10679E+08,  3.08328E+08,  1.46756E+08,  3.36010E+07,  9.70529E+06,  3.73070E+12,  4.33615E+08,  2.80699E+08,  5.14523E+09,  4.09135E+12,  4.24130E+01,  8.74669E+08,  1.54003E+01,  6.67017E+05,  1.78445E+05,  1.79366E+07,  2.20128E+19,  1.92204E+14,  7.53096E+13,  6.14278E+13,  3.97990E+13,  9.18480E+12,  2.30074E+13,  7.80774E+08,  1.51526E+03,  1.28865E+15,  5.42354E+06,  4.76632E+13,  2.43590E+10,  7.83002E+01,  1.04776E+13,  5.71720E+11,  2.32641E+13,  5.91320E+00,  1.10896E+13,  3.17035E+01,  5.51796E+10,  4.83054E+11,  1.17000E+08,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.00000E+00
  4.00000E-04,2,  2.58352E-02,  0.00000E+00,  0.00000E+00,  2.44540E+18,  5.67851E+14,  1.40145E+11,  3.48937E+07,  8.60486E+03,  3.19001E+00,  5.74204E+00,  8.07596E-04,  5.65067E-07,  1.76709E+10,  1.62701E+02,  4.09633E+01,  9.56040E+02,  2.41184E+12,  8.37855E-02,  2.92547E+06,  1.09364E-01,  1.81669E+00,  1.76605E+05,  1.31390E+07,  2.20129E+19,  1.52796E+14,  5.98682E+13,  4.88315E+13,  3.16390E+13,  8.68552E+12,  5.00064E+12,  3.89803E+06,  1.63797E+00,  1.29353E+15,  0.00000E+00,  4.76609E+13,  3.50625E+07,  0.00000E+00,  6.94547E+12,  6.31226E+11,  2.75671E+13,  4.19917E-02,  1.10445E+13,  2.25138E-01,  6.91271E+09,  5.52794E+11,  1.17000E+08,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.00000E+00
  4.50000E-04,1,  3.49960E+00,  1.40000E+02,  2.54766E-08,  2.44494E+18,  1.02115E+15,  4.64503E+11,  1.81835E+09,  8.10531E+08,  3.08318E+08,  1.46691E+08,  3.36012E+07,  9.70535E+06,  3.22422E+12,  4.31737E+08,  2.80238E+08,  5.13444E+09,  4.48438E+12,  4.40014E+01,  8.28042E+08,  1.68798E+01,  6.67021E+05,  2.08980E+05,  1.79364E+07,  2.20126E+19,  2.02889E+14,  7.94963E+13,  6.48427E+13,  4.20119E+13,  1.07285E+13,  2.30479E+13,  7.81066E+08,  1.51851E+03,  1.60574E+15,  5.42351E+06,  5.95927E+13,  1.77639E+10,  7.31789E+01,  1.04550E+13,  7.04862E+11,  3.16531E+13,  6.48128E+00,  1.38375E+13,  3.47491E+01,  4.24529E+10,  6.42664E+11,  1.17000E+08,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.00000E+00
